file,concept,rank,score,var_name,var_label
cfps2010adult_202008.dta,L_labor,23,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,L_labor,24,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,L_labor,25,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,M_intermediate,1,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,M_intermediate,2,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,M_intermediate,3,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,M_intermediate,4,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,M_intermediate,5,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,M_intermediate,6,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,M_intermediate,7,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,M_intermediate,8,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,M_intermediate,9,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,M_intermediate,10,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,M_intermediate,11,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,M_intermediate,12,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,M_intermediate,13,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,M_intermediate,14,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,M_intermediate,15,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,M_intermediate,16,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,M_intermediate,17,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,M_intermediate,18,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,M_intermediate,19,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,M_intermediate,20,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,M_intermediate,21,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,M_intermediate,22,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,M_intermediate,23,1,ku308,使用互联网络：解闷
cfps2010adult_202008.dta,M_intermediate,24,1,ku601,适合您的情况：在网上认识新朋友后，会通过手机进一步联系
cfps2010adult_202008.dta,M_intermediate,25,1,qa1age,自动计算年龄
cfps2010adult_202008.dta,land_area,1,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,land_area,2,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,land_area,3,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,land_area,4,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,land_area,5,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,land_area,6,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,land_area,7,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,land_area,8,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,land_area,9,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,land_area,10,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,land_area,11,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,land_area,12,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,land_area,13,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,land_area,14,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,land_area,15,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,land_area,16,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,land_area,17,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,land_area,18,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,land_area,19,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,land_area,20,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,land_area,21,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,land_area,22,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,land_area,23,1,ku308,使用互联网络：解闷
cfps2010adult_202008.dta,land_area,24,1,ku601,适合您的情况：在网上认识新朋友后，会通过手机进一步联系
cfps2010adult_202008.dta,land_area,25,1,qa1age,自动计算年龄
cfps2010adult_202008.dta,plot_count,1,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,plot_count,2,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,plot_count,3,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,plot_count,4,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,plot_count,5,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,plot_count,6,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,plot_count,7,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,plot_count,8,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,plot_count,9,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,plot_count,10,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,plot_count,11,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,plot_count,12,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,plot_count,13,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,plot_count,14,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,plot_count,15,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,plot_count,16,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,plot_count,17,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,plot_count,18,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,plot_count,19,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,plot_count,20,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,plot_count,21,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,plot_count,22,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,plot_count,23,1,ku308,使用互联网络：解闷
cfps2010adult_202008.dta,plot_count,24,1,ku601,适合您的情况：在网上认识新朋友后，会通过手机进一步联系
cfps2010adult_202008.dta,plot_count,25,1,qa1age,自动计算年龄
cfps2010adult_202008.dta,income_total,1,5,qk601,您个人的总收入是多少元
cfps2010adult_202008.dta,income_total,2,5,qk7,您上个月的各种来源的总收入有多少元
cfps2010adult_202008.dta,income_total,3,3,qg501,您对目前的工作收入有多满意
cfps2010adult_202008.dta,income_total,4,3,qg702,上个月您的第二职业收入是多少元
cfps2010adult_202008.dta,income_total,5,3,qh411,您平均每月能从这一非农劳动中获取的收入有多少元
cfps2010adult_202008.dta,income_total,6,3,qj201,您离/退休前一个月的实际工资收入是多少（元/月）
cfps2010adult_202008.dta,income_total,7,3,qk105,去年，第二职业、兼职或临时性收入【含实物折合现金】（元）
cfps2010adult_202008.dta,income_total,8,3,qk106,去年，其他劳动收入合计（元）
cfps2010adult_202008.dta,income_total,9,3,qm401,您的收入在本地属于
cfps2010adult_202008.dta,income_total,10,3,qm701,观点：为了经济繁荣就要拉大收入差距
cfps2010adult_202008.dta,income_total,11,2,income,个人收入
cfps2010adult_202008.dta,income_total,12,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,income_total,13,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,income_total,14,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,income_total,15,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,income_total,16,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,income_total,17,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,income_total,18,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,income_total,19,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,income_total,20,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,income_total,21,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,income_total,22,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,income_total,23,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,income_total,24,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,income_total,25,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,asset_total,1,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,asset_total,2,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,asset_total,3,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,asset_total,4,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,asset_total,5,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,asset_total,6,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,asset_total,7,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,asset_total,8,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,asset_total,9,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,asset_total,10,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,asset_total,11,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,asset_total,12,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,asset_total,13,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,asset_total,14,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,asset_total,15,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,asset_total,16,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,asset_total,17,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,asset_total,18,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,asset_total,19,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,asset_total,20,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,asset_total,21,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,asset_total,22,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,asset_total,23,1,ku308,使用互联网络：解闷
cfps2010adult_202008.dta,asset_total,24,1,ku601,适合您的情况：在网上认识新朋友后，会通过手机进一步联系
cfps2010adult_202008.dta,asset_total,25,1,qa1age,自动计算年龄
cfps2010adult_202008.dta,age,1,3,qa1age,自动计算年龄
cfps2010adult_202008.dta,age,2,3,qq212,您多大年龄时戒烟的
cfps2010adult_202008.dta,age,3,3,qq312,您多大年龄时戒酒的
cfps2010adult_202008.dta,age,4,3,tb1b_a_f,父亲年龄
cfps2010adult_202008.dta,age,5,3,tb1b_a_m,母亲年龄
cfps2010adult_202008.dta,age,6,3,tb1b_a_s,配偶年龄
cfps2010adult_202008.dta,age,7,2,qb303b_a_1,姓名1：年龄
cfps2010adult_202008.dta,age,8,2,qb303b_a_10,姓名10：年龄
cfps2010adult_202008.dta,age,9,2,qb303b_a_11,姓名11：年龄
cfps2010adult_202008.dta,age,10,2,qb303b_a_12,姓名12：年龄
cfps2010adult_202008.dta,age,11,2,qb303b_a_13,姓名13：年龄
cfps2010adult_202008.dta,age,12,2,qb303b_a_14,姓名14：年龄
cfps2010adult_202008.dta,age,13,2,qb303b_a_15,姓名15：年龄
cfps2010adult_202008.dta,age,14,2,qb303b_a_2,姓名2：年龄
cfps2010adult_202008.dta,age,15,2,qb303b_a_3,姓名3：年龄
cfps2010adult_202008.dta,age,16,2,qb303b_a_4,姓名4：年龄
cfps2010adult_202008.dta,age,17,2,qb303b_a_5,姓名5：年龄
cfps2010adult_202008.dta,age,18,2,qb303b_a_6,姓名6：年龄
cfps2010adult_202008.dta,age,19,2,qb303b_a_7,姓名7：年龄
cfps2010adult_202008.dta,age,20,2,qb303b_a_8,姓名8：年龄
cfps2010adult_202008.dta,age,21,2,qb303b_a_9,姓名9：年龄
cfps2010adult_202008.dta,age,22,2,tb1b_a_c1,孩1年龄
cfps2010adult_202008.dta,age,23,2,tb1b_a_c10,孩10年龄
cfps2010adult_202008.dta,age,24,2,tb1b_a_c2,孩2年龄
cfps2010adult_202008.dta,age,25,2,tb1b_a_c3,孩3年龄
cfps2010adult_202008.dta,edu,1,5,qn503,观点：一个人受教育程度越高，获得很大的成就可能性就越大。
cfps2010adult_202008.dta,edu,2,4,cfps2010eduy_best,CFPS2010个人问卷受访者已完成的受教育年限
cfps2010adult_202008.dta,edu,3,3,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,edu,4,3,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,edu,5,3,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,edu,6,3,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,edu,7,3,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,edu,8,3,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,edu,9,3,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,edu,10,3,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,edu,11,3,qc8,您认为自己最少应该念完哪种教育程度
cfps2010adult_202008.dta,edu,12,2,kt301_a_1,工作日：正规教育
cfps2010adult_202008.dta,edu,13,2,kt301_a_2,休息日：正规教育
cfps2010adult_202008.dta,edu,14,2,kt302_a_1,工作日：作业与复习等与正规教育有关活动
cfps2010adult_202008.dta,edu,15,2,kt302_a_2,休息日：作业与复习等与正规教育有关活动
cfps2010adult_202008.dta,edu,16,2,kt303_a_1,工作日：业余学习和非正规教育
cfps2010adult_202008.dta,edu,17,2,kt303_a_2,休息日：业余学习和非正规教育
cfps2010adult_202008.dta,edu,18,2,sedu,配偶教育程度(粗糙）
cfps2010adult_202008.dta,edu,19,2,seduc,配偶教育程度(详细）
cfps2010adult_202008.dta,edu,20,2,sedul,配偶教育年限（粗糙）
cfps2010adult_202008.dta,edu,21,2,seduy,配偶教育年限（详细）
cfps2010adult_202008.dta,edu,22,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,edu,23,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,edu,24,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,edu,25,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,health,1,3,qp3,您认为自己的健康状况如何
cfps2010adult_202008.dta,health,2,3,qp301,您觉得您的健康状况和一年前比较起来如何
cfps2010adult_202008.dta,health,3,3,qz202,受访者的健康状况
cfps2010adult_202008.dta,health,4,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,health,5,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,health,6,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,health,7,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,health,8,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,health,9,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,health,10,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,health,11,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,health,12,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,health,13,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,health,14,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,health,15,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,health,16,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,health,17,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,health,18,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,health,19,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,health,20,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,health,21,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,health,22,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,health,23,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,health,24,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,health,25,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,train,1,2,kt3_a_1,工作日：学习培训（小计）
cfps2010adult_202008.dta,train,2,2,kt3_a_2,休息日：学习培训（小计）
cfps2010adult_202008.dta,train,3,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,train,4,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,train,5,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,train,6,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,train,7,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,train,8,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,train,9,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,train,10,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,train,11,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,train,12,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,train,13,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,train,14,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,train,15,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,train,16,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,train,17,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,train,18,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,train,19,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,train,20,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,train,21,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,train,22,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,train,23,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,train,24,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,train,25,1,ku308,使用互联网络：解闷
cfps2010adult_202008.dta,coop,1,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,coop,2,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,coop,3,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,coop,4,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,coop,5,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,coop,6,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,coop,7,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,coop,8,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,coop,9,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,coop,10,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,coop,11,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,coop,12,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,coop,13,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,coop,14,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,coop,15,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,coop,16,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,coop,17,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,coop,18,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,coop,19,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,coop,20,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,coop,21,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,coop,22,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,coop,23,1,ku308,使用互联网络：解闷
